Designator,Mid X,Mid Y,Rotation,Layer
CARRIER1-R31,147.940000,-33.570000,-90.000000,top
CARRIER1-R32,149.255000,-21.040000,-90.000000,top
CARRIER1-R4,70.890000,-33.610000,-90.000000,top
CARRIER1-R5,72.915000,-38.215000,-90.000000,top
CARRIER1-R6,73.515000,-34.110000,0.000000,top
CARRIER1-R7,73.515000,-35.690000,0.000000,top
CARRIER1-R8,69.190000,-33.610000,-90.000000,top
CARRIER1-R9,70.017500,-39.985000,0.000000,top
CARRIER1-U1,142.877500,-16.640000,180.000000,top
CARRIER1-U2,94.350000,-22.100000,90.000000,top
CARRIER1-U3,77.612500,-36.780000,-90.000000,top
CARRIER1-U4,82.850000,-24.530000,180.000000,top
CARRIER1-U5,75.740000,-17.782500,180.000000,top
CARRIER2-C1,74.555000,-69.010000,180.000000,top
CARRIER2-C10,78.760000,-62.530000,-90.000000,top
CARRIER2-C11,148.480000,-55.530000,180.000000,top
CARRIER2-C12,147.730000,-53.120000,-90.000000,top
CARRIER2-C13,149.430000,-53.120000,-90.000000,top
CARRIER2-C14,147.940000,-75.795000,-90.000000,top
CARRIER2-C15,80.265000,-54.615000,-90.000000,top
CARRIER2-C16,73.520000,-51.060000,0.000000,top
CARRIER2-C17,147.165000,-68.090000,180.000000,top
CARRIER2-C18,81.400000,-58.880000,0.000000,top
CARRIER2-C2,74.500000,-75.115000,90.000000,top
CARRIER2-C3,88.620000,-61.680000,180.000000,top
CARRIER2-C4,88.620000,-58.420000,180.000000,top
CARRIER2-C5,92.490000,-54.075000,180.000000,top
CARRIER2-C6,95.570000,-52.500000,0.000000,top
CARRIER2-C7,95.570000,-54.075000,0.000000,top
CARRIER2-C8,92.270000,-49.935000,-90.000000,top
CARRIER2-C9,82.471766,-57.223054,0.000000,top
CARRIER2-D1,70.690000,-62.890000,-90.000000,top
CARRIER2-D2,66.372500,-69.080000,0.000000,top
CARRIER2-L1,85.966766,-52.166882,180.000000,top
CARRIER2-L3,69.210000,-54.757500,0.000000,top
CARRIER2-LED1,151.390000,-57.160000,-90.000000,top
CARRIER2-Q1,85.780000,-70.685000,90.000000,top
CARRIER2-Q2,70.017500,-74.110000,90.000000,top
CARRIER2-Q3,70.017500,-79.430000,180.000000,top
CARRIER2-R1,76.030000,-62.477500,-90.000000,top
CARRIER2-R10,72.915000,-79.430000,90.000000,top
CARRIER2-R11,147.165000,-62.410000,180.000000,top
CARRIER2-R12,97.900000,-61.520000,90.000000,top
CARRIER2-R13,97.900000,-53.250000,-90.000000,top
CARRIER2-R14,97.900000,-56.480000,-90.000000,top
CARRIER2-R15,92.490000,-52.500000,0.000000,top
CARRIER2-R16,96.345000,-49.935000,90.000000,top
CARRIER2-R17,78.760000,-59.345000,90.000000,top
CARRIER2-R18,78.760000,-65.735000,90.000000,top
CARRIER2-R19,84.500000,-58.880000,0.000000,top
CARRIER2-R2,78.390000,-79.430000,-90.000000,top
CARRIER2-R24,147.165000,-64.380000,180.000000,top
CARRIER2-R25,147.165000,-60.440000,180.000000,top
CARRIER2-R26,67.120000,-51.350000,-90.000000,top
CARRIER2-R28,151.130000,-53.120000,-90.000000,top
CARRIER2-R3,76.650000,-79.430000,-90.000000,top
CARRIER2-R30,147.165000,-66.350000,180.000000,top
CARRIER2-R31,147.940000,-70.470000,-90.000000,top
CARRIER2-R32,149.255000,-57.940000,-90.000000,top
CARRIER2-R4,70.890000,-70.510000,-90.000000,top
CARRIER2-R5,72.915000,-75.115000,-90.000000,top
CARRIER2-R6,73.515000,-71.010000,0.000000,top
CARRIER2-R7,73.515000,-72.590000,0.000000,top
CARRIER2-R8,69.190000,-70.510000,-90.000000,top
CARRIER2-R9,70.017500,-76.885000,0.000000,top
CARRIER2-U1,142.877500,-53.540000,180.000000,top
CARRIER2-U2,94.350000,-59.000000,90.000000,top
CARRIER2-U3,77.612500,-73.680000,-90.000000,top
CARRIER2-U4,82.850000,-61.430000,180.000000,top
CARRIER2-U5,75.740000,-54.682500,180.000000,top
CARRIER3-C1,74.555000,-105.910000,180.000000,top
CARRIER3-C10,78.760000,-99.430000,-90.000000,top
CARRIER3-C11,148.480000,-92.430000,180.000000,top
CARRIER3-C12,147.730000,-90.020000,-90.000000,top
CARRIER3-C13,149.430000,-90.020000,-90.000000,top
CARRIER3-C14,147.940000,-112.695000,-90.000000,top
CARRIER3-C15,80.265000,-91.515000,-90.000000,top
CARRIER3-C16,73.520000,-87.960000,0.000000,top
CARRIER3-C17,147.165000,-104.990000,180.000000,top
CARRIER3-C18,81.400000,-95.780000,0.000000,top
CARRIER3-C2,74.500000,-112.015000,90.000000,top
CARRIER3-C3,88.620000,-98.580000,180.000000,top
CARRIER3-C4,88.620000,-95.320000,180.000000,top
CARRIER3-C5,92.490000,-90.975000,180.000000,top
CARRIER3-C6,95.570000,-89.400000,0.000000,top
CARRIER3-C7,95.570000,-90.975000,0.000000,top
CARRIER3-C8,92.270000,-86.835000,-90.000000,top
CARRIER3-C9,82.471766,-94.123054,0.000000,top
CARRIER3-D1,70.690000,-99.790000,-90.000000,top
CARRIER3-D2,66.372500,-105.980000,0.000000,top
CARRIER3-L1,85.966766,-89.066882,180.000000,top
CARRIER3-L3,69.210000,-91.657500,0.000000,top
CARRIER3-LED1,151.390000,-94.060000,-90.000000,top
CARRIER3-Q1,85.780000,-107.585000,90.000000,top
CARRIER3-Q2,70.017500,-111.010000,90.000000,top
CARRIER3-Q3,70.017500,-116.330000,180.000000,top
CARRIER3-R1,76.030000,-99.377500,-90.000000,top
CARRIER3-R10,72.915000,-116.330000,90.000000,top
CARRIER3-R11,147.165000,-99.310000,180.000000,top
CARRIER3-R12,97.900000,-98.420000,90.000000,top
CARRIER3-R13,97.900000,-90.150000,-90.000000,top
CARRIER3-R14,97.900000,-93.380000,-90.000000,top
CARRIER3-R15,92.490000,-89.400000,0.000000,top
CARRIER3-R16,96.345000,-86.835000,90.000000,top
CARRIER3-R17,78.760000,-96.245000,90.000000,top
CARRIER3-R18,78.760000,-102.635000,90.000000,top
CARRIER3-R19,84.500000,-95.780000,0.000000,top
CARRIER3-R2,78.390000,-116.330000,-90.000000,top
CARRIER3-R24,147.165000,-101.280000,180.000000,top
CARRIER3-R25,147.165000,-97.340000,180.000000,top
CARRIER3-R26,67.120000,-88.250000,-90.000000,top
CARRIER3-R28,151.130000,-90.020000,-90.000000,top
CARRIER3-R3,76.650000,-116.330000,-90.000000,top
CARRIER3-R30,147.165000,-103.250000,180.000000,top
CARRIER3-R31,147.940000,-107.370000,-90.000000,top
CARRIER3-R32,149.255000,-94.840000,-90.000000,top
CARRIER3-R4,70.890000,-107.410000,-90.000000,top
CARRIER3-R5,72.915000,-112.015000,-90.000000,top
CARRIER3-R6,73.515000,-107.910000,0.000000,top
CARRIER3-R7,73.515000,-109.490000,0.000000,top
CARRIER3-R8,69.190000,-107.410000,-90.000000,top
CARRIER3-R9,70.017500,-113.785000,0.000000,top
CARRIER3-U1,142.877500,-90.440000,180.000000,top
CARRIER3-U2,94.350000,-95.900000,90.000000,top
CARRIER3-U3,77.612500,-110.580000,-90.000000,top
CARRIER3-U4,82.850000,-98.330000,180.000000,top
CARRIER3-U5,75.740000,-91.582500,180.000000,top
CARRIER4-C1,74.555000,-142.810000,180.000000,top
CARRIER4-C10,78.760000,-136.330000,-90.000000,top
CARRIER4-C11,148.480000,-129.330000,180.000000,top
CARRIER4-C12,147.730000,-126.920000,-90.000000,top
CARRIER4-C13,149.430000,-126.920000,-90.000000,top
CARRIER4-C14,147.940000,-149.595000,-90.000000,top
CARRIER4-C15,80.265000,-128.415000,-90.000000,top
CARRIER4-C16,73.520000,-124.860000,0.000000,top
CARRIER4-C17,147.165000,-141.890000,180.000000,top
CARRIER4-C18,81.400000,-132.680000,0.000000,top
CARRIER4-C2,74.500000,-148.915000,90.000000,top
CARRIER4-C3,88.620000,-135.480000,180.000000,top
CARRIER4-C4,88.620000,-132.220000,180.000000,top
CARRIER4-C5,92.490000,-127.875000,180.000000,top
CARRIER4-C6,95.570000,-126.300000,0.000000,top
CARRIER4-C7,95.570000,-127.875000,0.000000,top
CARRIER4-C8,92.270000,-123.735000,-90.000000,top
CARRIER4-C9,82.471766,-131.023054,0.000000,top
CARRIER4-D1,70.690000,-136.690000,-90.000000,top
CARRIER4-D2,66.372500,-142.880000,0.000000,top
CARRIER4-L1,85.966766,-125.966882,180.000000,top
CARRIER4-L3,69.210000,-128.557500,0.000000,top
CARRIER4-LED1,151.390000,-130.960000,-90.000000,top
CARRIER4-Q1,85.780000,-144.485000,90.000000,top
CARRIER4-Q2,70.017500,-147.910000,90.000000,top
CARRIER4-Q3,70.017500,-153.230000,180.000000,top
CARRIER4-R1,76.030000,-136.277500,-90.000000,top
CARRIER4-R10,72.915000,-153.230000,90.000000,top
