Designator,Footprint,Quantity,Value,LCSC Part #
"BACKPLANE1-R20, BACKPLANE1-R21, BACKPLANE1-R30, BACKPLANE1-R31, BACKPLANE1-R38, BACKPLANE1-R39",1206,6,10k,C17902
"CARRIER1-C1, CARRIER2-C1, CARRIER3-C1, CARRIER4-C1, CARRIER5-C1, CARRIER6-C1",1206,6,1uF 100V,C13832
"CARRIER1-C3, CARRIER1-C4, CARRIER2-C3, CARRIER2-C4, CARRIER3-C3, CARRIER3-C4, CARRIER4-C3, CARRIER4-C4, CARRIER5-C3, CARRIER5-C4, CARRIER6-C3, CARRIER6-C4",1210,12,2.2uF 100V,C55151
"CARRIER1-R1, CARRIER2-R1, CARRIER3-R1, CARRIER4-R1, CARRIER5-R1, CARRIER6-R1",2512,6,6mR 1% 3W,C2985709
"CARRIER1-D1, CARRIER2-D1, CARRIER3-D1, CARRIER4-D1, CARRIER5-D1, CARRIER6-D1",D_SMC,6,SMCJ48A,C19077611
"BACKPLANE1-D10, BACKPLANE1-D11, BACKPLANE1-D12, BACKPLANE1-D7, BACKPLANE1-D8, BACKPLANE1-D9",D_SOD-123,6,BZT52C12-7-F,C124196
"CARRIER1-LED1, CARRIER2-LED1, CARRIER3-LED1, CARRIER4-LED1, CARRIER5-LED1, CARRIER6-LED1",LED_WS2812B-2020_PLCC4_2.0x2.0mm,6,WS2812B-2020-V6,C52917434
"CARRIER1-L3, CARRIER2-L3, CARRIER3-L3, CARRIER4-L3, CARRIER5-L3, CARRIER6-L3",L_CommonModeChoke_TDK_ACT1210D,6,ACT1210D-101-2P-TL00,C3039743
"CARRIER1-L1, CARRIER2-L1, CARRIER3-L1, CARRIER4-L1, CARRIER5-L1, CARRIER6-L1",L_Sunlord_SWPA8040S,6,68μH,C36418
"CARRIER1-U3, CARRIER2-U3, CARRIER3-U3, CARRIER4-U3, CARRIER5-U3, CARRIER6-U3",MSOP-10_3x3mm_P0.5mm_0.20mm_Clearance,6,LMX5069MS,C47967145
